#temp,#2.1,#1.76,#1.2,#0.7
0.79,2.00311,1.88653,1.55891,1.22864
0.791,2.0077,1.88923,1.55949,1.22859
0.792,2.01401,1.8934,1.56095,1.22889
0.793,2.01857,1.89606,1.5615,1.22884
0.794,2.0231,1.89871,1.56204,1.22877
0.795,2.02761,1.90133,1.56256,1.22871
0.796,2.0321,1.90393,1.56308,1.22864
0.797,2.03657,1.90651,1.56358,1.22857
0.798,2.04102,1.90906,1.56406,1.22849
0.799,2.04544,1.9116,1.56454,1.22841
0.8,2.05159,1.91558,1.56588,1.22867
0.801,2.05598,1.91807,1.56632,1.22858
0.802,2.06033,1.92053,1.56676,1.22848
0.803,2.06642,1.92445,1.56805,1.22873
0.804,2.07073,1.92687,1.56845,1.22862
0.805,2.07502,1.92926,1.56884,1.22851
0.806,2.07928,1.93163,1.56922,1.22839
0.807,2.08352,1.93398,1.56958,1.22828
0.808,2.08948,1.93777,1.5708,1.22849
0.809,2.09368,1.94007,1.57113,1.22836
0.81,2.09783,1.94234,1.57145,1.22823
0.811,2.10373,1.94606,1.57262,1.22843
0.812,2.10784,1.94828,1.57291,1.22828
0.813,2.11192,1.95048,1.57319,1.22814
0.814,2.11773,1.95411,1.5743,1.22832
0.815,2.12353,1.95772,1.5754,1.22849
0.816,2.12753,1.95984,1.57563,1.22833
0.817,2.1315,1.96193,1.57585,1.22816
0.818,2.13544,1.964,1.57605,1.22799
0.819,2.14112,1.96749,1.57708,1.22814
0.82,2.14677,1.97096,1.57809,1.22828
0.821,2.15062,1.97294,1.57825,1.22809
0.822,2.15621,1.97635,1.57922,1.22822
0.823,2.16177,1.97973,1.58018,1.22835
0.824,2.16553,1.98163,1.58029,1.22814
0.825,2.16926,1.98349,1.58038,1.22793
0.826,2.17472,1.98678,1.58129,1.22804
0.827,2.18016,1.99004,1.58217,1.22814
0.828,2.18379,1.99182,1.58221,1.22791
0.829,2.18915,1.99501,1.58306,1.228
0.83,2.19273,1.99674,1.58307,1.22776
0.831,2.19801,1.99986,1.58388,1.22783
0.832,2.20504,2.0044,1.5855,1.22821
0.833,2.2085,2.00603,1.58545,1.22796
0.834,2.21193,2.00762,1.58539,1.22769
0.835,2.21708,2.01061,1.58613,1.22774
0.836,2.2222,2.01358,1.58685,1.22778
0.837,2.22727,2.0165,1.58754,1.22781
0.838,2.23231,2.0194,1.58822,1.22784
0.839,2.23555,2.02083,1.58806,1.22754
0.84,2.24051,2.02365,1.5887,1.22756
0.841,2.24719,2.02786,1.59012,1.22787
0.842,2.25207,2.03061,1.59071,1.22786
0.843,2.25515,2.03189,1.59048,1.22754
